Country,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Malawi,1998/12,Strong winds,1,,,,,6,6,,,
Malawi,1999/01,Floods,5,,,,,26653,26653,,,
Malawi,1999/02,Floods,4,,,,,31141,31141,,,
Malawi,1999/03,Floods,9,,,,,31313,31313,,,
Malawi,1999/03,Heavy rains,1,,,,,258,258,,,
Malawi,1999/03,Malnutrition,1,,,,,369,369,,,
Malawi,2000/03,Floods,5,,,,,18250,18250,,,
Malawi,2000/11,DROUGHT,1,,,,,2933,2933,,,
Malawi,2000/12,Floods,5,,,,,35857,35857,,,
Malawi,2000/12,Strong winds,1,,,,,34,34,,,
Malawi,2001/01,Floods,15,,,,,11318,11318,,,
Malawi,2001/02,Floods,19,,,,,55367,55367,,,
Malawi,2001/03,Floods,5,,,,,2722,2722,,,
Malawi,2001/11,Rain Storm,1,,,,,9,9,,,
Malawi,2001/12,Floods,6,,,,,2431,2431,,,
Malawi,2002/01,Floods,3,,,,,50746,50746,,,
Malawi,2002/02,Floods,3,,,,,1005,1005,,,
Malawi,2002/03,Floods,3,,,,,1617,1617,,,
Malawi,2002/04,Floods,7,,,,,7627,7627,,,
Malawi,2002/12,Floods,2,1,,,,1456,1456,,,
Malawi,2003/01,Floods,14,,,,,41938,41938,,,
Malawi,2003/02,Floods,10,,,,,8810,8810,,,
Malawi,2003/03,Floods,1,4,,,,1872,1872,,,
Malawi,2003/11,Rain Storm,2,,,,,160,160,,,
Malawi,2003/12,CYCLONE,1,,,,,12,12,,,
Malawi,2003/12,Heavy rains and winds,1,,,,,43,43,,,
Malawi,2003/12,Heavy winds,2,,,,,191,191,,,
Malawi,2003/12,STORM,1,,,,,29,29,,,
Malawi,2003/12,Strong winds,1,,,,,8,8,,,
Malawi,2003/12,Strong winds and heavy rains,1,1,,,,11,11,,,
Malawi,2004/01,Floods,1,,,,,826,826,,,
Malawi,2004/01,Heavy winds,1,,,,,2,2,,,
Malawi,2004/01,Rainstorm,2,,,,,48,48,,,
Malawi,2004/01,STORM,2,,,,,47,47,,,
Malawi,2004/02,Floods,7,3,,,,1294,1294,,,
Malawi,2004/03,Floods,4,,,,,69,69,,,
Malawi,2004/09,Rainstorm,1,,,,,586,586,,,
Malawi,2004/10,Strong winds,1,,,,,39,39,,,
Malawi,2004/11,Hail storm,1,,,,,39,39,,,
Malawi,2004/11,Heavy winds,4,,,,,17,17,,,
Malawi,2004/11,Rainstorm,6,,,,,406,406,,,
Malawi,2004/11,Wind Storm,3,,,,,283,283,,,
Malawi,2004/12,Floods,8,2,,,,2609,2609,,,
Malawi,2004/12,Rainstorm,3,4,,,,548,548,,,
Malawi,2004/12,Strong winds,1,,,,,132,132,,,
Malawi,2005/01,Armyworm,8,,,,,10473,10473,,,
Malawi,2005/01,Floods,3,,,,,357,357,,,
Malawi,2005/01,HAILSTORM,1,,,,,83,83,,,
Malawi,2005/03,Heavy rains,3,,,,,791,791,,,
Malawi,2005/12,FIRE,1,,,,,16,16,,,
Malawi,2005/12,HAILSTORM,1,,,,,64,64,,,
Malawi,2005/12,Heavy rains,24,,,,,3083,3083,,,
Malawi,2005/12,Lightning,1,11,,,,11,11,,,
Malawi,2006/01,Army worms,1,,,,,6146,6146,,,
Malawi,2006/01,Floods,2,,,,,8524,8524,,,
Malawi,2006/01,Heavy rains,1,,,,,1377,1377,,,
Malawi,2006/02,Floods,10,,,,,,,,,
Malawi,2006/02,HAILSTORM,3,,,,,1028,1028,,,
Malawi,2006/03,Floods,16,,,,,4510,4510,,,
